home_goals_scored_avg,home_goals_conceded_avg,away_goals_scored_avg,away_goals_conceded_avg,home_win_rate,away_win_rate,home_form_points,away_form_points,home_advantage,home_shot_accuracy,away_shot_accuracy,home_discipline,away_discipline,outcome,League,date,home_team,away_team
1.25,1.625,1.125,2.0,0.125,0.25,0.625,0.75,1,0.3076923076923077,0.3,0,2,2,france,2020-11-01,Reims,Strasbourg
1.375,1.625,1.125,0.625,0.375,0.375,1.375,1.5,1,0.3333333333333333,0.0,2,2,2,france,2020-11-01,Monaco,Bordeaux
1.75,0.375,1.75,1.0,0.625,0.375,2.25,1.625,1,0.375,0.1111111111111111,3,6,1,france,2020-11-01,Lille,Lyon
1.25,2.0,1.375,1.25,0.5,0.5,1.625,1.75,1,0.4166666666666667,0.38461538461538464,5,2,0,france,2020-11-01,Angers,Nice
1.1111111111111112,2.0,1.375,1.0,0.2222222222222222,0.5,0.6666666666666666,1.875,1,0.2,0.5,0,4,0,france,2020-11-06,Strasbourg,Marseille
2.5555555555555554,0.3333333333333333,2.0,1.2222222222222223,0.7777777777777778,0.5555555555555556,2.3333333333333335,2.0,1,0.6,0.17647058823529413,3,0,2,france,2020-11-07,Paris SG,Rennes
1.0,1.0,1.5555555555555556,1.4444444444444444,0.3333333333333333,0.4444444444444444,1.3333333333333333,1.5555555555555556,1,0.1,0.3,2,1,0,france,2020-11-07,Bordeaux,Montpellier
1.4285714285714286,1.4285714285714286,1.3333333333333333,1.5555555555555556,0.5714285714285714,0.2222222222222222,1.8571428571428572,0.8888888888888888,1,0.3333333333333333,0.6666666666666666,3,1,1,france,2020-11-08,Lens,Reims
1.3333333333333333,2.2222222222222223,1.6666666666666667,0.4444444444444444,0.3333333333333333,0.5555555555555556,1.0,2.111111111111111,1,0.6153846153846154,0.30434782608695654,4,3,2,france,2020-11-08,Brest,Lille
1.6666666666666667,1.0,1.0,1.4444444444444444,0.3333333333333333,0.3333333333333333,1.5555555555555556,1.1111111111111112,1,0.3157894736842105,0.23529411764705882,5,3,2,france,2020-11-08,Lyon,St Etienne
1.5555555555555556,1.1111111111111112,1.6666666666666667,1.4444444444444444,0.5555555555555556,0.4444444444444444,1.8888888888888888,1.5555555555555556,1,0.4444444444444444,0.5,2,2,0,france,2020-11-08,Nice,Monaco
1.0,1.5555555555555556,1.1111111111111112,2.111111111111111,0.2222222222222222,0.4444444444444444,0.8888888888888888,1.4444444444444444,1,0.3333333333333333,0.5,2,5,0,france,2020-11-08,Nimes,Angers
1.3333333333333333,1.6666666666666667,1.125,1.625,0.2222222222222222,0.25,0.8888888888888888,1.0,1,0.21052631578947367,0.23529411764705882,3,1,0,france,2020-11-08,Lorient,Nantes
1.1111111111111112,0.7777777777777778,0.4444444444444444,2.0,0.4444444444444444,0.0,1.5555555555555556,0.3333333333333333,1,0.26666666666666666,0.4,2,1,1,france,2020-11-08,Metz,Dijon
1.8,1.4,1.0,1.2222222222222223,0.5,0.3333333333333333,1.8,1.2222222222222223,1,0.13333333333333333,0.42857142857142855,2,2,0,france,2020-11-20,Rennes,Bordeaux
1.7,1.4,2.6,0.3,0.5,0.8,1.7,2.4,1,0.3125,0.4,2,6,2,france,2020-11-20,Monaco,Paris SG
1.5,2.2,1.0,1.5,0.4,0.3,1.2,1.0,1,0.45454545454545453,0.05555555555555555,1,1,2,france,2020-11-21,Brest,St Etienne
1.2222222222222223,1.4444444444444444,1.1,0.8,0.3333333333333333,0.4,1.2222222222222223,1.5,1,0.2777777777777778,0.36363636363636365,2,3,1,france,2020-11-22,Nantes,Metz
0.5,1.9,1.75,1.75,0.0,0.5,0.4,1.75,1,0.18181818181818182,0.2857142857142857,2,0,0,france,2020-11-22,Dijon,Lens
1.6,1.3,1.0,1.9,0.5,0.2,1.7,0.6,1,0.4090909090909091,0.5,2,1,2,france,2020-11-22,Montpellier,Strasbourg
1.5555555555555556,1.7777777777777777,0.6666666666666666,2.111111111111111,0.2222222222222222,0.1111111111111111,0.8888888888888888,0.5555555555555556,1,0.35294117647058826,0.7142857142857143,3,1,0,france,2020-11-22,Reims,Nimes
1.5,2.0,1.7,1.0,0.5,0.4,1.6,1.7,1,0.38095238095238093,0.3333333333333333,2,3,0,france,2020-11-22,Angers,Lyon
1.7,0.7,1.2,1.7,0.5,0.2,1.9,0.8,1,0.40625,0.25,1,3,2,france,2020-11-22,Lille,Lorient
1.6666666666666667,1.5555555555555556,1.2,1.4,0.5555555555555556,0.3,1.8888888888888888,1.2,1,0.125,0.25,4,2,1,france,2020-11-25,Lens,Nantes
1.2,2.0,1.6,1.4,0.2,0.4,0.6,1.5,1,0.42857142857142855,0.3181818181818182,3,0,1,france,2020-11-27,Strasbourg,Rennes
1.3333333333333333,0.8888888888888888,1.3,1.5,0.5555555555555556,0.3,2.0,1.2,1,0.5625,0.2857142857142857,4,2,2,france,2020-11-28,Marseille,Nantes
2.8,0.5,1.0,1.1,0.8,0.4,2.4,1.4,1,0.5294117647058824,0.21052631578947367,1,1,1,france,2020-11-28,Paris SG,Bordeaux
