match_idx,date,home_team,away_team,total_goals,over_2_5,btts,outcome,home_avg_gf_l10,home_avg_ga_l10,home_avg_gf_l5,home_avg_ga_l5,away_avg_gf_l10,away_avg_ga_l10,away_avg_gf_l5,away_avg_ga_l5,home_odds,draw_odds,away_odds,home_prob,draw_prob,away_prob,expected_goals,combined_attacking,odds_competitiveness
65,2020-11-28,Sp Lisbon,Moreirense,3,1,1,H,2.7142857142857144,0.5714285714285714,3.0,0.8,0.8333333333333334,1.0,0.6,1.2,1.265,5.648333333333333,11.386666666666663,0.7490329696302531,0.1677533266300861,0.0832137037396607,3.6,0.8783358480436172,10.121666666666663
66,2020-11-29,Gil Vicente,Rio Ave,2,0,0,H,0.7142857142857143,1.2857142857142858,0.8,1.8,0.7142857142857143,0.7142857142857143,0.8,0.8,3.035,3.125,2.4233333333333333,0.310211496822103,0.3012774057136264,0.3885110974642707,1.6,0.7421440371275967,0.6116666666666668
67,2020-11-29,Portimonense,Nacional,1,0,0,H,0.7142857142857143,1.5714285714285714,0.8,1.8,1.1428571428571428,1.0,0.8,0.8,2.1133333333333333,3.4000000000000004,3.411666666666666,0.4462270292265731,0.2773607220878895,0.2764122486855372,1.6,0.7662979909045938,1.298333333333333
68,2020-11-29,Boavista,Belenenses,0,0,0,D,1.4285714285714286,2.142857142857143,1.4,1.4,0.42857142857142855,0.7142857142857143,0.2,0.6,2.123333333333333,3.1583333333333337,3.686666666666666,0.4447914051462757,0.2990312665732744,0.2561773282804499,1.5999999999999999,0.7422053534169267,1.563333333333333
69,2020-11-29,Sp Braga,Farense,1,0,0,H,1.7142857142857142,1.0,2.2,0.6,1.2857142857142858,1.7142857142857142,1.8,1.8,1.36,4.758333333333334,8.841666666666667,0.694622193247352,0.1985329981400487,0.1068448086125992,4.0,0.8483949659034207,7.4816666666666665
70,2020-11-30,Maritimo,Benfica,3,1,1,A,1.1428571428571428,1.5714285714285714,1.2,1.6,2.4285714285714284,1.2857142857142858,2.0,1.6,9.103333333333332,5.006666666666667,1.34,0.1040390597054118,0.1891682237386683,0.7067927165559199,3.2,0.856118528558234,7.763333333333332
71,2020-12-01,Moreirense,Pacos Ferreira,1,0,0,A,0.8571428571428571,1.1428571428571428,0.8,1.2,1.2857142857142858,1.1428571428571428,1.6,1.0,3.693333333333333,3.2616666666666667,2.075,0.2556064001446901,0.2894347382323113,0.4549588616229986,2.4000000000000004,0.7526858335870558,1.6183333333333327
72,2020-12-05,Moreirense,Gil Vicente,2,0,1,D,0.75,1.125,0.6,1.2,0.875,1.125,1.0,1.6,2.9766666666666666,3.171666666666667,2.4683333333333333,0.3180196220630913,0.2984671807696695,0.3835131971672391,1.6,0.7410779163922564,0.5083333333333333
73,2020-12-05,Famalicao,Sp Lisbon,4,1,1,D,1.375,2.0,1.4,1.8,2.625,0.625,3.0,0.6,5.609999999999999,4.3116666666666665,1.5466666666666666,0.1686830998889422,0.2194771218500887,0.6118397782609691,4.4,0.824804843567521,4.063333333333333
74,2020-12-05,Porto,Tondela,7,1,1,H,2.375,1.25,1.8,1.2,0.75,1.75,0.8,1.4,1.1866666666666663,6.901666666666666,14.785000000000002,0.798594045503464,0.1373095774929887,0.0640963770035471,2.6,0.9103327469003282,13.598333333333336
75,2020-12-05,Guimaraes,Portimonense,1,0,0,H,0.75,0.875,1.0,1.2,0.75,1.375,1.0,1.4,1.9016666666666664,3.5216666666666665,4.05,0.4976268524027507,0.2687137901521716,0.2336593574450776,2.0,0.7727680938314886,2.1483333333333334
76,2020-12-06,Benfica,Pacos Ferreira,3,1,1,H,2.375,1.25,1.8,1.4,1.25,1.0,1.8,0.8,1.2533333333333332,5.748333333333334,11.655,0.7543922677258603,0.1644833242475636,0.0811244080265761,3.6,0.8836724262256178,10.401666666666666
77,2020-12-06,Nacional,Santa Clara,4,1,1,A,1.0,1.0,0.8,1.0,0.875,1.0,0.8,1.6,2.725,3.1566666666666663,2.66,0.3462977435836101,0.2989423499256614,0.3547599064907284,1.6,0.7429123266882802,0.06499999999999995
78,2020-12-06,Rio Ave,Boavista,0,0,0,D,0.625,0.875,0.6,1.0,1.25,1.875,1.2,1.2,1.9183333333333328,3.3233333333333337,4.206666666666666,0.4918224963486045,0.2838955332483669,0.2242819704030284,1.7999999999999998,0.7590037464837991,2.288333333333333
79,2020-12-06,Belenenses,Sp Braga,3,1,1,H,0.375,0.625,0.2,0.6,1.625,0.875,1.6,0.6,5.989999999999999,4.058333333333333,1.55,0.1577164801551152,0.232785638471246,0.6094978813736387,1.8,0.8121061985028811,4.4399999999999995
80,2020-12-07,Farense,Maritimo,3,1,1,H,1.125,1.625,1.4,1.4,1.125,1.625,0.8,1.6,2.376666666666667,3.295,2.97,0.3965862870620401,0.2860556627974047,0.317358050140555,2.2,0.7574576999541935,0.5933333333333333
81,2020-12-18,Portimonense,Famalicao,0,0,0,D,0.6666666666666666,1.3333333333333333,0.6,1.4,1.4444444444444444,2.0,1.2,1.6,2.415,3.191666666666667,3.0066666666666664,0.3906443733588918,0.2955841759775636,0.3137714506635446,1.7999999999999998,0.7466729099814996,0.5916666666666663
82,2020-12-19,Sp Lisbon,Farense,1,0,0,H,2.5555555555555554,0.7777777777777778,3.0,0.8,1.2222222222222223,1.5555555555555556,1.2,1.0,1.3066666666666666,5.438333333333333,9.265,0.723954514514099,0.1739443271158607,0.1021011583700402,4.2,0.8732392039384561,7.958333333333334
83,2020-12-19,Maritimo,Belenenses,1,0,0,H,1.1111111111111112,1.6666666666666667,0.8,1.6,0.5555555555555556,0.6666666666666666,0.6,0.8,2.388333333333333,3.16,3.1,0.3958464943178222,0.299181448500759,0.3049720571814189,1.4,0.7412826688877383,0.7116666666666669
84,2020-12-19,Tondela,Moreirense,0,0,0,D,1.0,2.0,1.2,2.0,0.7777777777777778,1.1111111111111112,0.8,1.4,2.4216666666666664,3.1133333333333333,3.06,0.3892214318463474,0.3027509317305902,0.3080276364230624,2.0,0.7397361330400479,0.6383333333333336
85,2020-12-20,Pacos Ferreira,Boavista,2,0,1,D,1.2222222222222223,1.1111111111111112,1.6,1.0,1.1111111111111112,1.6666666666666667,1.2,1.0,2.2900000000000005,3.2916666666666665,3.151666666666667,0.4128314819398074,0.2872052942710357,0.2999632237891568,2.8,0.7539736605709877,0.8616666666666664
86,2020-12-20,Gil Vicente,Benfica,2,0,0,A,0.8888888888888888,1.1111111111111112,1.2,1.6,2.3333333333333335,1.2222222222222223,1.6,1.6,7.535,4.781666666666667,1.4016666666666664,0.1257615878126977,0.1981764163475798,0.6760619958397225,2.8,0.8461503865827882,6.133333333333334
87,2020-12-20,Porto,Nacional,2,0,0,H,2.5555555555555554,1.4444444444444444,2.2,1.4,1.0,1.2222222222222223,0.8,1.2,1.265,5.863333333333333,10.578333333333331,0.7488776350075316,0.1615685403555191,0.0895538246369491,3.0,0.8850466841575275,9.31333333333333
88,2020-12-21,Santa Clara,Guimaraes,4,1,0,A,1.1111111111111112,1.0,1.2,1.4,0.7777777777777778,0.7777777777777778,1.0,1.2,2.7966666666666664,3.208333333333333,2.5500000000000003,0.3368795137451189,0.293653934578862,0.3694665516760191,2.2,0.7497253967141088,0.24666666666666615
89,2020-12-22,Sp Braga,Rio Ave,3,1,0,H,1.5555555555555556,1.0,1.4,0.8,0.5555555555555556,0.7777777777777778,0.6,0.4,1.5433333333333332,4.008333333333333,6.061666666666667,0.6098912297183975,0.2348271429186013,0.1552816273630013,2.0,0.8129192941991091,4.518333333333334
90,2020-12-27,Famalicao,Gil Vicente,1,0,0,A,1.3,1.8,0.8,1.2,0.8,1.2,1.0,1.4,2.463333333333333,3.0050000000000003,3.1366666666666667,0.3838654267418852,0.3146717142121498,0.301462859045965,1.8,0.7247637687140764,0.6733333333333338
91,2020-12-27,Nacional,Tondela,2,0,0,H,0.9,1.3,0.6,1.4,0.9,1.8,1.0,2.0,2.0500000000000003,3.2550000000000003,3.765,0.4599204573281431,0.289658045321872,0.250421497349985,1.6,0.7534091277167752,1.7149999999999999
92,2020-12-27,Farense,Pacos Ferreira,2,0,1,D,1.1,1.5,1.2,1.0,1.2,1.1,1.6,1.0,2.7950000000000004,3.1850000000000005,2.578333333333333,0.3376570733684637,0.2963113092825293,0.3660316173490069,2.8,0.7456291998015664,0.21666666666666723
93,2020-12-27,Belenenses,Sp Lisbon,3,1,1,A,0.5,0.7,0.6,0.6,2.4,0.7,2.6,0.6,6.875,4.251666666666666,1.468333333333333,0.1370014601542717,0.2215331333345241,0.6414654065112042,3.2,0.8264988133319575,5.406666666666667
94,2020-12-28,Rio Ave,Maritimo,4,1,1,A,0.5,1.0,0.4,1.0,1.1,1.5,0.8,1.2,1.885,3.35,4.341666666666667,0.500788332393647,0.281786867630455,0.2174247999758981,1.2000000000000002,0.7608302743652535,2.456666666666667
95,2020-12-28,Boavista,Sp Braga,5,1,1,A,1.1,1.6,1.0,0.8,1.7,0.9,1.8,0.8,4.648333333333333,3.6366666666666663,1.751666666666667,0.2027637374991368,0.2591695984807941,0.5380666640200691,2.8,0.7860157428309325,2.8966666666666665
96,2020-12-29,Benfica,Portimonense,3,1,1,H,2.3,1.1,1.6,1.6,0.6,1.2,0.6,1.2,1.215,6.341666666666666,12.615,0.7764554331049506,0.1487611066316712,0.0747834602633781,2.2,0.9023159769625616,11.4
97,2020-12-29,Moreirense,Santa Clara,1,0,0,H,0.7,1.0,0.4,1.2,1.0,1.3,1.0,1.8,2.5800000000000005,2.928333333333333,2.845,0.3586927467666873,0.3160252544079864,0.3252819988253263,1.4,0.7390907480824511,0.2649999999999997
98,2020-12-29,Guimaraes,Porto,5,1,1,A,1.1,0.7,1.8,1.0,2.5,1.3,2.4,1.4,4.672,3.828,1.698,0.2011282090127503,0.2454730910416847,0.5533986999455649,4.2,0.8029692466560175,2.9739999999999998
99,2021-01-02,Sp Lisbon,Sp Braga,2,0,0,H,2.4,0.8,2.2,0.8,2.0,0.7,2.4,1.0,2.0616666666666665,3.5683333333333334,3.438333333333333,0.4592676415903913,0.2653498704564754,0.2753824879531333,4.6,0.7758830469946092,1.3766666666666665
100,2021-01-03,Maritimo,Boavista,0,0,0,D,1.4,1.4,1.4,1.4,0.9,1.7,0.6,1.6,2.635,3.063333333333333,2.83,0.3582599232724242,0.3081659078855836,0.3335741688419922,2.0,0.7328635318255878,0.19500000000000028
101,2021-01-03,Pacos Ferreira,Rio Ave,2,0,0,H,1.2,1.1,1.2,0.8,0.5,1.2,0.2,1.6,2.3416666666666663,2.9683333333333337,3.3716666666666666,0.4026744429193895,0.3176628816966548,0.2796626753839557,1.4,0.7236354872700599,1.0300000000000002
102,2021-01-03,Porto,Moreirense,3,1,0,H,2.5,1.4,2.6,1.2,0.6,1.0,0.6,0.8,1.2066666666666668,6.3950000000000005,13.955,0.7842168575618749,0.1479731573820165,0.0678099850561086,3.2,0.9003881853867304,12.748333333333333
103,2021-01-03,Tondela,Famalicao,1,0,0,H,0.8,1.9,1.0,1.6,1.2,1.4,0.8,1.2,2.895,3.061666666666667,2.576666666666666,0.3258275641435278,0.3080906254313053,0.3660818104251669,1.8,0.7335214615912256,0.3183333333333338
104,2021-01-04,Santa Clara,Benfica,2,0,1,D,0.8,1.4,0.6,1.8,2.0,1.1,2.0,1.2,6.685,4.43,1.468333333333333,0.1416067496715019,0.2136887407571084,0.6447045095713896,2.6,0.830632899141436,5.216666666666667
105,2021-01-04,Gil Vicente,Belenenses,0,0,0,D,0.8,1.2,1.0,1.0,0.5,0.9,0.6,0.8,2.1966666666666668,3.098333333333333,3.556666666666666,0.4298112218143681,0.3047289888925966,0.2654597892930352,1.6,0.7363973416880821,1.3599999999999994
106,2021-01-04,Portimonense,Farense,2,0,0,H,0.6,1.3,0.6,1.2,1.2,1.4,1.2,1.0,2.228333333333333,3.2183333333333333,3.3083333333333336,0.4226651656842245,0.2926480199481139,0.2846868143676614,1.7999999999999998,0.7510328963109636,1.0800000000000005
107,2021-01-07,Sp Braga,Maritimo,3,1,1,H,2.0,0.8,1.8,1.0,1.2,1.3,1.2,1.0,1.3433333333333335,5.07,8.47,0.7024660991118074,0.1861234963458635,0.1114104045423291,3.0,0.8624806278765222,7.126666666666667
108,2021-01-08,Nacional,Sp Lisbon,2,0,0,A,0.8,1.0,1.0,1.4,2.4,0.8,1.8,0.8,7.419999999999999,4.449999999999999,1.4366666666666663,0.1276788799114878,0.2128937727962337,0.6594273472922784,2.8,0.8308265739426272,5.9833333333333325
109,2021-01-08,Benfica,Tondela,2,0,0,H,1.9,1.2,1.8,0.8,0.8,1.7,0.8,1.6,1.116666666666667,9.015,20.13833333333333,0.847948119446441,0.1050333222460927,0.0470185583074663,2.6,0.9451789303091427,19.02166666666666
110,2021-01-08,Rio Ave,Portimonense,3,1,0,H,0.5,1.4,0.2,2.0,0.8,1.2,0.8,0.6,2.09,3.015,4.034999999999999,0.4522495796936991,0.3134997086433934,0.2342507116629074,1.0,0.726300374118805,1.9449999999999994
111,2021-01-08,Famalicao,Porto,5,1,1,A,1.0,1.4,0.4,1.2,2.3,1.4,2.6,1.0,8.561666666666666,4.986666666666667,1.3500000000000003,0.1103888360571465,0.1895278913187036,0.7000832726241499,3.0,0.8575404292749045,7.211666666666665
112,2021-01-09,Moreirense,Guimaraes,4,1,1,D,0.6,1.1,0.4,1.0,1.3,0.9,1.8,1.4,3.56,3.1466666666666665,2.1733333333333333,0.2652947221053648,0.3001427576361543,0.4345625202584809,2.2,0.7410215757909975,1.3866666666666667
113,2021-01-09,Boavista,Santa Clara,2,0,1,D,0.9,1.2,0.4,1.0,0.8,1.5,0.8,1.6,2.3833333333333333,2.985,3.3149999999999995,0.397236682453325,0.3171683170900362,0.2855950004566389,1.2000000000000002,0.7212395447689566,0.9316666666666662
114,2021-01-10,Farense,Gil Vicente,4,1,1,H,1.2,1.5,0.6,1.2,0.8,1.2,0.8,0.6,2.583333333333333,2.9483333333333337,2.9883333333333333,0.3648737242055802,0.319702810920661,0.3154234648737587,1.4,0.7217314646564598,0.40500000000000025
115,2021-01-10,Belenenses,Pacos Ferreira,2,0,0,A,0.4,0.7,0.6,0.8,1.4,0.9,1.2,0.8,3.06,3.008333333333333,2.4933333333333327,0.308218912268991,0.3135124226736108,0.3782686650573981,1.7999999999999998,0.7278669043374927,0.5666666666666673
116,2021-01-15,Porto,Benfica,2,0,1,D,2.5,1.2,3.2,1.2,1.8,1.0,1.8,0.6,2.2166666666666663,3.405,3.2100000000000004,0.4270668495270247,0.2780219823156841,0.2949111681572911,5.0,0.762654299299651,0.9933333333333341
117,2021-01-15,Sp Lisbon,Rio Ave,2,0,1,D,2.4,0.6,1.8,0.6,0.7,1.3,0.8,1.6,1.5,3.998,6.682,0.6251284321223656,0.2345404322620181,0.1403311356156163,2.6,0.8163224583458046,5.182
118,2021-01-16,Pacos Ferreira,Sp Braga,2,0,0,H,1.6,0.8,1.4,0.8,1.8,0.9,2.0,1.2,4.215,3.53,1.855,0.2238995689143017,0.2673475022588616,0.5087529288268365,3.4,0.7763314820321467,2.36
119,2021-01-16,Tondela,Boavista,4,1,1,H,0.8,1.5,0.8,1.6,0.9,1.2,0.6,1.2,3.178333333333334,3.23,2.303333333333333,0.2972750266494818,0.2925198533645831,0.410205119985935,1.4,0.7487837102547776,0.8750000000000013
120,2021-01-17,Nacional,Moreirense,1,0,0,A,0.7,1.2,0.6,1.6,0.7,1.2,0.8,1.2,2.3799999999999994,3.103333333333333,3.168333333333333,0.3971246774175815,0.3045617826811527,0.2983135399012657,1.4,0.7357914233552444,0.7883333333333336
121,2021-01-17,Santa Clara,Famalicao,3,1,1,A,0.9,1.6,1.0,1.6,1.0,1.7,0.6,1.6,2.333333333333333,3.1750000000000003,3.1716666666666664,0.4047618383024904,0.2974627683062922,0.2977753933912174,1.6,0.7438630733428422,0.8383333333333334
122,2021-01-17,Gil Vicente,Maritimo,1,0,0,A,0.8,1.4,0.6,1.2,1.0,1.3,1.2,1.0,2.2183333333333333,3.120000000000001,3.478333333333333,0.4257562394749166,0.3027145057377745,0.271529254787309,1.7999999999999998,0.7382828910823938,1.2599999999999998
123,2021-01-18,Portimonense,Belenenses,1,0,0,H,0.8,1.3,0.6,1.2,0.4,0.9,0.6,1.2,2.4,3.108333333333333,3.0866666666666664,0.3922098096170311,0.3028322390608712,0.3049579513220977,1.2,0.7406407487401008,0.6866666666666665
124,2021-01-21,Guimaraes,Nacional,4,1,1,H,1.5,1.1,2.2,1.0,0.7,1.3,0.6,1.6,1.6466666666666667,3.8,5.14,0.5702240958508986,0.247097108202056,0.1826787959470453,2.8000000000000003,0.8018399785755919,3.493333333333333
125,2021-01-24,Maritimo,Pacos Ferreira,3,1,0,A,1.0,1.1,1.2,0.6,1.6,0.7,1.6,0.4,2.891666666666667,2.9883333333333333,2.641666666666666,0.3265530893449013,0.315989743454213,0.3574571672008858,2.8,0.7243702215474687,0.2500000000000009
126,2021-01-24,Famalicao,Guimaraes,1,0,0,A,0.9,1.5,0.6,1.4,1.7,1.2,2.4,1.2,3.308333333333333,3.0933333333333333,2.306666666666666,0.2854082575045799,0.3052453616091547,0.4093463808862653,3.0,0.7357930140795854,1.001666666666667
127,2021-01-24,Moreirense,Portimonense,4,1,1,D,0.8,1.2,0.8,1.0,0.7,1.2,0.8,1.0,2.685,3.17,2.6966666666666668,0.3517811067841039,0.2979597071657158,0.3502591860501801,1.6,0.7432676615266336,0.011666666666666714
128,2021-01-25,Belenenses,Tondela,2,0,0,H,0.4,1.0,0.2,1.2,1.0,1.5,0.8,1.0,2.248333333333333,3.0050000000000003,3.556666666666666,0.4201074070697371,0.3143232901481282,0.2655693027821346,1.0,0.7259360434297196,1.3083333333333331
129,2021-01-25,Rio Ave,Santa Clara,3,1,1,A,0.8,1.1,1.0,1.8,0.9,1.6,0.6,1.8,1.9533333333333327,3.1566666666666663,4.331666666666666,0.4831527373256113,0.2989730771624163,0.2178741855119725,1.6,0.7428034148077433,2.3783333333333334
130,2021-01-25,Benfica,Nacional,2,0,1,D,1.6,1.1,1.6,0.6,0.7,1.4,0.6,1.6,1.1816666666666666,6.905,14.775,0.7992905693223298,0.1367842176320376,0.0639252130456324,2.2,0.9139442364188737,13.593333333333334
131,2021-01-25,Farense,Porto,1,0,0,A,1.3,1.3,1.2,1.2,2.4,1.1,2.6,0.8,7.903333333333333,4.428333333333334,1.413333333333333,0.1193787424142382,0.2130575824344439,0.6675636751513179,3.8,0.8340760605747117,6.49
132,2021-01-26,Sp Braga,Gil Vicente,1,0,0,H,1.6,1.0,1.8,1.2,0.8,1.4,0.4,1.2,1.4233333333333331,4.395,7.728333333333333,0.6631195679554485,0.2147531706613397,0.1221272613832117,2.2,0.8319701171566249,6.305
